course_id,course_title,course_title_english,course_description,subdomain_id,course_url
BZA0034,SMART INTEGRITI,Smart integrity,"Explore the nuances of Smart integrity with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",81,
BZA0035,KOMUNIKASI BERKESAN,Effective communication,"Explore the nuances of Effective communication with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",35,
BZA0036,KOMUNIKASI TERSIRAT (NON-VERBAL),Implied communication (non-verbal),"This course offers a deep dive into Implied communication, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Implied practices.",35,
BZA0037,PENGURUSAN KENDERAAN,Vehicle management,"Explore the nuances of Vehicle management with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",59,
BZA0038,PENGURUSAN MESYUARAT,Meeting management,"Explore the nuances of Meeting management with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",59,
BZA0039,PENGURUSAN REKOD YANG EFEKTIF,Effective record management,"This course offers a deep dive into Effective record, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Effective practices.",59,
BZA0040,"PENULISAN DOKUMEN RASMI KERAJAAN (SURAT RASMI, MEMO DAN E-MEL)","Government official document writing (official letter, memo and email)","This course offers a deep dive into Government official, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Government practices.",49,https://www.dtims.intan.my/detail_course/wVyqcr3cyyjGXxEh
BZA0041,PEMANDU CEMERLANG,Outstanding,"Explore the nuances of Outstanding with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",81,
BZA0042,KECEMERLANGAN DIRI,Excellence,"Explore the nuances of Excellence with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",81,
BZA0043,"GET CREATIVE MICROSOFT EXCEL 2016 STEP BY STEP (INTRO, INTERMEDIATE & ADVANCED)","Get Creative Microsoft Excel 2016 Step by Step (Intro, Intermediate & Advanced)","This course offers a deep dive into Get Creative, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Get practices.",5,
BZA0044,INFOGRAPHIC USING POWERPOINT,Infographic Using PowerPoint,"This course offers a deep dive into Infographic Using, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Infographic practices.",72,
BZA0045,BENGKEL ASAS PENGENDALIAN DRONE & SUNTINGAN IMEJ VIDEO KREATIF,Basic Drone Handling Workshop & Creative Video Image Edits,"This course offers a deep dive into Basic Drone, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Basic practices.",143,
BZA0046,INTEGRITI DAN TADBIR URUS TERBAIK DALAM PENGURUSAN KEWANGAN KERAJAAN,Best Integrity and Governance in Government Financial Management,"This course offers a deep dive into Best Integrity, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Best practices.",42,
BZA0048,MICROSOFT WORD 2016 (BASIC/INTERMEDIATE),Microsoft Word 2016 (Basic/Intermediate),"This course offers a deep dive into Microsoft Word, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Microsoft practices.",72,
BZA0049,MICROSOFT EXCEL 2016 (BASIC/INTERMEDIATE),Microsoft Excel 2016 (Basic/Intermediate),"This course offers a deep dive into Microsoft Excel, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Microsoft practices.",72,
BZA0050,SUNTINGAN VIDEO - WONDERSHARE FILMORA,Video editing - Wondershare Filmora,"This course offers a deep dive into Video editing, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Video practices.",143,
BZA0051,REKA EPOSTER DAN INFOGRAFIK - CANVA,Eposter and Infographic Design - Canva,"This course offers a deep dive into Eposter and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Eposter practices.",72,
BZA0052,SMARTPHONE VIDEOGRAPHY & EDITING,Smartphone Videography & Editing,"This course offers a deep dive into Smartphone Videography, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Smartphone practices.",143,
BZA0053,HUMAN RESOURCE CHAMPION MODUL 1 PERANCANGAN DAN PEMBANGUNAN ORGANISASI,Human Resource Champion Module 1 Organizational Planning and Development,"This course offers a deep dive into Human Resource, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Human practices.",59,
BZA0054,KREATIVITI DI TEMPAT KERJA,Creativity at work,"This course offers a deep dive into Creativity at, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Creativity practices.",81,
BZA0056,INTERNET OF THINGS (TAHAP ASAS),Internet of Things (Basic Level),"This course offers a deep dive into Internet of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Internet practices.",120,
BZA0058,PENGURUSAN EPEROLEHAN,EPerolehan management,"Explore the nuances of EPerolehan management with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",48,
BZA0059,PENYEDIAAN SPESIFIKASI DAN SKEMA PEMARKAHAN SEBUT HARGA/TENDER,Preparation of Specifications and Quotation Scoring Scheme/Tender,"This course offers a deep dive into Preparation of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Preparation practices.",48,
BZA0060,"ADVANCE PRESENTATION GOOGLE SLIDE, VISME, PREZI & SOZI","Advance Presentation Google Slide, Vism, Prezi & Sozi","This course offers a deep dive into Advance Presentation, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Advance practices.",2,
BZA0061,PEMBACAAN BERKESAN,Effective reading,"Explore the nuances of Effective reading with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",115,
BZA0062,REKABENTUK GRAFIK DAN PENYUNTINGAN FOTO - PHOTOSHOP,Graphic design and photo editing - Photoshop,"This course offers a deep dive into Graphic design, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Graphic practices.",72,
BZA0064,INFOGRAPHIC USING POWERPOINT,Infographic Using PowerPoint,"This course offers a deep dive into Infographic Using, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Infographic practices.",72,
BZA0065,"MICROSOFT EXCEL 2016 STEP BY STEP (INTRO, INTERMEDIATE & ADVANCE)","Microsoft Excel 2016 Step by Step (Intro, Intermediate & Advance)","This course offers a deep dive into Microsoft Excel, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Microsoft practices.",5,
BZA0066,"PENULISAN SURAT RASMI, MEMO, E-MEL DAN MINIT MESYUARAT KERAJAAN BERKUALITI","Official letter writing, memo, email and quality government meetings","This course offers a deep dive into Official letter, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Official practices.",105,
BZA0067,BENGKEL PENULISAN ARTIKEL DAN RENCANA,Workshop on articles and articles,"This course offers a deep dive into Workshop on, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Workshop practices.",49,
BZA0068,ANALISIS PENYATA KEWANGAN,Analysis of financial statements,"This course offers a deep dive into Analysis of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Analysis practices.",42,
BZA0069,ASAS KESELAMATAN SIBER,The basis of cyber security,"This course offers a deep dive into The basis, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of The practices.",119,
BZA0070,GOOGLE DASHBOARD,Google Dashboard,"Explore the nuances of Google Dashboard with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",3,
BZA0071,"PROSPEK, CABARAN PEROLEHAN DAN PENGURUSAN TANAH PERSEKUTUAN DI SABAH (PROGRAM KHAS)","Prospects, Challenges of Federal Land Procurement and Management in Sabah (Special Program)","This course offers a deep dive into Prospects, Challenges, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Prospects, practices.",103,
BZA0072,CHAT GPT,Chat gpt,"Explore the nuances of Chat gpt with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",72,https://www.dtims.intan.my/detail_course/VL8QGtNRzFL8Y4tF
BZA0073,REKABENTUK GRAFIK DAN PENYUNTINGAN FOTO (CANVA),Graphic design and photo editing (canva),"This course offers a deep dive into Graphic design, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Graphic practices.",120,https://www.dtims.intan.my/detail_course/QlmPrwkeN3XccSfu
BZA0074,SUNTINGAN VIDEO,Video edits,"Explore the nuances of Video edits with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",72,https://www.dtims.intan.my/detail_course/odSCLQjFM5JzGu5w
BZA0075,PEMANDU PROFESIONAL,Professional driver,"Explore the nuances of Professional driver with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",42,
BZA0076,PENGURUSAN TANAH PERSEKUTUAN DI NEGERI SABAH,Federal Land Management in the State of Sabah,"This course offers a deep dive into Federal Land, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Federal practices.",103,
BZA0077,KECERDASAN EMOSI DAN SPIRITUAL,Emotional and spiritual intelligence,"This course offers a deep dive into Emotional and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Emotional practices.",107,
CAA0001,BASIC TRAINING REFRESHER (BTR) PEMBANTU LAUT (UPSKILLING-PP),Basic Training Refresher (BTR) Marine Assistant (Upskilling-PP),"This course offers a deep dive into Basic Training, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Basic practices.",154,
CAA0002,PEMINDAHAN TEKNOLOGI KULTUR DAN PROPAGASI KARANG (UPSKILLING-GS),Transfer of Culture Technology and Coral Propagation (Upskilling-GS),"This course offers a deep dive into Transfer of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Transfer practices.",153,
CAA0003,PEMINDAHAN TEKNOLOGI TERNAKAN IKAN BETA BIL. 1/2023 (UPSKILLING-GS),Transfer of Beta Fish Livestock Technology Bills.1/2023 (upskilling-gs),"This course offers a deep dive into Transfer of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Transfer practices.",153,
CAA0005,PENGUKUHAN PEMATUHAN MYGAP (UPSKILLING-GS),MYGAP Compliance Strengthening (Upskilling-GS),"This course offers a deep dive into MYGAP Compliance, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of MYGAP practices.",153,
CAA0012,TEKNOLOGI PEMBENIHAN IKAN SUNGAI TEMPATAN (UPSKILLING-GS),Local river fish seeding technology (upskilling-GS),"This course offers a deep dive into Local river, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Local practices.",153,
CAA0013,PEMBENIHAN UDANG GALAH (UPSKILLING-GS),Shrimp seeding (upskilling-GS),"This course offers a deep dive into Shrimp seeding, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Shrimp practices.",153,
CAA0017,TEKNOLOGI PENGENDALIAN PERIKANAN PANTAI DAN KESELAMATAN (UPSKILLING-GS),Beach Fisheries and Safety Technology (Upskilling-GS),"This course offers a deep dive into Beach Fisheries, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Beach practices.",169,
CAA0019,PEMINDAHAN TEKNOLOGI PEMPROSESAN PRODUK PERIKANAN BERASASKAN OTOSHIMI (SIRI 1) (UPSKILLING-GS),Transfer of Otoshimi-Based Fisheries Product Processing Technology (Series 1) (Upskilling-GS),"This course offers a deep dive into Transfer of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Transfer practices.",170,
CAA0020,TEKNOLOGI PENGHASILAN MAKANAN HIDUP MOINA SECARA HYGENIK (UPSKILLING-GS),Hygenic Moina's Hygenic Food Production Technology (Upskilling-GS),"This course offers a deep dive into Hygenic Moina's, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Hygenic practices.",153,
CAA0021,PEMINDAHAN TEKNOLOGI PEMPROSESAN PRODUK PERIKANAN BERASASKAN SURIMI (SIRI 1) (UPSKILLING-GS),Transfer of Surimi-Based Fisheries Product Processing Technology (Series 1) (Upskilling-GS),"This course offers a deep dive into Transfer of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Transfer practices.",170,
CAA0022,PEMBUATAN UNJAM TIRUAN (UPSKILLING-GS),The manufacture of artificial unjam (upskilling-GS),"This course offers a deep dive into The manufacture, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of The practices.",169,
CAA0023,PENYELENGGARAAN ENJIN SANGKUT (SIRI 1) (UPSKILLING-GS),Maintenance of the Engine Engine (Series 1) (Upskilling-GS),"This course offers a deep dive into Maintenance of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Maintenance practices.",169,
CAA0024,TEKNOLOGI PENTERNAKAN UDANG GALAH SECARA EFEKTIF (UPSKILLING-GS),Effective Shrimp Technology (Upskilling-GS),"This course offers a deep dive into Effective Shrimp, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Effective practices.",153,
CAA0025,PEMINDAHAN TEKNOLOGI PEMBENIHAN IKAN PATIN (UPSKILLING-GS),Transfer of Patin Fish Seeding Technology (Upskilling-GS),"This course offers a deep dive into Transfer of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Transfer practices.",153,
CAA0026,TEKNOLOGI PENYEDIAAN MAKANAN TERNAKAN IKAN PERINGKAT LADANG (UPSKILLING-GS),Technology Preparing Farm Fish Food Food (Upskilling-GS),"This course offers a deep dive into Technology Preparing, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Technology practices.",153,
CAA0027,PEMINDAHAN TEKNOLOGI TERNAKAN IKAN SANGKAR DI DALAM KOLAM (UPSKILLING-GS),Transfer of cage fish livestock technology in the pool (upskilling-GS),"This course offers a deep dive into Transfer of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Transfer practices.",153,
CAA0028,PEMINDAHAN TEKNOLOGI TUMBUHAN AKUATIK DAN VIVARIUM (UPSKILLING-GS),Transfer of Aquatic Plant Technology and Vivarium (Upskilling-GS),"This course offers a deep dive into Transfer of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Transfer practices.",153,
CAA0029,TEKNOLOGI PELAYARAN DAN PERALATAN NAVIGASI SIRI 1 (UPSKILLING-GS),Cruise Technology and Navigation Equipment Series 1 (Upskilling-GS),"This course offers a deep dive into Cruise Technology, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Cruise practices.",169,
CAA0031,TEKNIKAL KEMAHIRAN PEMBENIHAN IKAN MARIN (UPSKILLING-GS),Technical Marine Fish Seeding Skills (Upskilling-GS),"This course offers a deep dive into Technical Marine, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Technical practices.",153,
CAA0032,PEMINDAHAN TEKNOLOGI PENYEDIAAN MAKANAN HIDUP MARIN (UPSKILLING-GS),Transfer of Marine Food Preparation Technology (Upskilling-GS),"This course offers a deep dive into Transfer of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Transfer practices.",153,
CAA0033,ASUHAN IKAN MARIN MENGGUNAKAN SISTEM RAS (UPSKILLING-GS),Marine fish nursing uses the RASSS system (upskilling-GS),"This course offers a deep dive into Marine fish, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Marine practices.",153,
CAA0034,PEMINDAHAN TEKNOLOGI PEMBIAKAN IKAN PATIN (UPSKILLING-GS),Transfer of Patin Fish Breeding Technology (Upskilling-GS),"This course offers a deep dive into Transfer of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Transfer practices.",153,
CAA0037,BASIC TRAINING (BT) SIRI 1/ 2023 (UPSKILLING-PP),Basic Training (BT) Series 1/2023 (Upskilling-PP),"This course offers a deep dive into Basic Training, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Basic practices.",154,
CAA0038,"PERALATAN MENANGKAP IKAN TRADISIONAL (BUBU, PUKAT HANYUT & KAIL MENGAIL) (UPSKILLING-GS)","Traditional fishing equipment (trap, drift & hook) (upskilling-GS)","This course offers a deep dive into Traditional fishing, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Traditional practices.",169,
CAA0044,MERISIK MERKURI KESEDARAN DAN KESELAMATAN DALAM MAKANAN LAUT (UPSKILLING-PP),Snites Mercury Awareness and Safety in Seafood (Upskilling-PP),"This course offers a deep dive into Snites Mercury, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Snites practices.",155,
CAA0045,ANALISIS PARASITOLOGI (PENGESANAN CACING NEMATOD ANISAKIS) (UPSKILLING-PP),Parasitological analysis (detection of anisacist nematode worms) (Upskilling-PP),"This course offers a deep dive into Parasitological analysis, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Parasitological practices.",155,
CAA0046,PEMANTAUAN KUALITI AIR MENGGUNAKAN AKUATIK EKOTOKSIKOLOGI (UPSKILLING-PP),Water quality monitoring using ecotoxicology aquatic (upskilling-PP),"This course offers a deep dive into Water quality, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Water practices.",155,
CAA0053,PEMINDAHAN TEKNOLOGI PEMPROSESAN PRODUK PERIKANAN (OTOSHIMI)(UPSKILLING-GS),Transfer of Fisheries Product Processing Technology (Otoshimi) (Upskilling-GS),"This course offers a deep dive into Transfer of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Transfer practices.",170,
