course_code,course_url,kod_kursus,nama_kursus,course_image_url
ZROA7nE6J4H6pfNK,https://www.dtims.intan.my/detail_course/ZROA7nE6J4H6pfNK,DDA0080,[ DDA0080 ] Kursus Fotografi & Videografi Menggunakan Dron [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240225100959.jpeg
Qx4wqSk0dmHxMzrv,https://www.dtims.intan.my/detail_course/Qx4wqSk0dmHxMzrv,TZA0064,[ TZA0064 ] Kursus Application of AI Prompting in Office [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240902103523.jpeg
VL8QGtNRzFL8Y4tF,https://www.dtims.intan.my/detail_course/VL8QGtNRzFL8Y4tF,BZA0072,[ BZA0072 ] Kursus Chat GPT [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240807163055.jpeg
dZmHKPF3Xj2wgb0n,https://www.dtims.intan.my/detail_course/dZmHKPF3Xj2wgb0n,CCA0076,[ CCA0076 ] Kesedaran Kepentingan Kesihatan Emosi di Tempat Kerja & Kehidupan Harian Zon Utara [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240702103424.png
aNB8vVzFMYOltztJ,https://www.dtims.intan.my/detail_course/aNB8vVzFMYOltztJ,DDA0078,[ DDA0078 ] Kursus Diagnostik Tanaman Buah-Buahan [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240825105010.jpeg
jcF7AXM5LGeHQvTf,https://www.dtims.intan.my/detail_course/jcF7AXM5LGeHQvTf,KNA0005,[ KNA0005 ] Kursus Design Thinking Masterclass [ Siri 3/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240705103442.png
TfT9Seg1GGptiHc1,https://www.dtims.intan.my/detail_course/TfT9Seg1GGptiHc1,WZA0045,[ WZA0045 ] Etika Kerja: Gamifikasi [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240426161247.jpeg
WfcCyoGqnzCKQAun,https://www.dtims.intan.my/detail_course/WfcCyoGqnzCKQAun,FZA0005,[ FZA0005 ] Faedah dan Pengurusan Persaraan - Apa Bakal Pesara Perlu Tahu? [ Siri 4/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240823111122.jpeg
WDpCfjIfdDtAtrO6,https://www.dtims.intan.my/detail_course/WDpCfjIfdDtAtrO6,KNA0022,[ KNA0022 ] Kursus Pengurusan Pelanggan [ Siri 2/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240906104804.png
WlXTa5iQ5hAMmmrz,https://www.dtims.intan.my/detail_course/WlXTa5iQ5hAMmmrz,ISA0020,[ ISA0020 ] KURSUS PENGURUSAN KRISIS [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240923093558.jpeg
lhgDFbXe2FjJcdei,https://www.dtims.intan.my/detail_course/lhgDFbXe2FjJcdei,IEA0013,[ IEA0013 ] KURSUS PENYELIAAN PRODUKSI TEKNIKAL TV [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240827113424.jpeg
0zLLp3ii9yRHxWjG,https://www.dtims.intan.my/detail_course/0zLLp3ii9yRHxWjG,CCA0075,[ CCA0075 ] Kursus Management Tools [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240918153341.png
klzNI8GPMJUAsb0v,https://www.dtims.intan.my/detail_course/klzNI8GPMJUAsb0v,WZA0040,"[ WZA0040 ] Protokol, Etiket Sosial dan Pengurusan Majlis [ Siri 2/2024 ]",https://admin.dtims.intan.my/upload/banner/bn-20240628075619.png
hCRQmzAcXAo0DpQB,https://www.dtims.intan.my/detail_course/hCRQmzAcXAo0DpQB,KPA0001,[ KPA0001 ] Kursus Masterclass in Public Policy Making [ Siri 2/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240208124004.jpeg
DHubqz9fApgfYAgV,https://www.dtims.intan.my/detail_course/DHubqz9fApgfYAgV,KPA0003,[ KPA0003 ] Masterclass on Civil Service Collaboration [ Siri 2/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240827171412.png
5o3evpJ3QD0bPkOf,https://www.dtims.intan.my/detail_course/5o3evpJ3QD0bPkOf,EAA0045,[ EAA0045 ] KURSUS APLIKASI TEKNOLOGI LEPAS TUAI (PEMAKANAN TERNAKAN) - UPSKILLING GS [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240924090708.png
w4KuauAlKXG4Uffb,https://www.dtims.intan.my/detail_course/w4KuauAlKXG4Uffb,ICB0004,[ ICB0004 ] EI IN AN AI WORLD: WHY EMOTIONAL INTELLIGENCE IS CRITICAL FOR LEADERSHIP? [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240821113948.jpeg
oJxJRARMQ24FBNSe,https://www.dtims.intan.my/detail_course/oJxJRARMQ24FBNSe,TZA0015,[ TZA0015 ] Kursus MyPortfolio: Panduan Kerja Sektor Awam [ Siri 3/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240905102800.jpeg
sLjkJkd5RL3NAyFp,https://www.dtims.intan.my/detail_course/sLjkJkd5RL3NAyFp,IIA0074,[ IIA0074 ] Kursus Kemahiran Komunikasi Pengembangan Berkesan Zon Tengah [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240907085809.jpeg
xDVYpatL9GOPFldl,https://www.dtims.intan.my/detail_course/xDVYpatL9GOPFldl,KCA0096,[ KCA0096 ] Kursus Internet of Things (Tahap Asas) [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240917155451.jpeg
48XAYnpIKIwzNP2E,https://www.dtims.intan.my/detail_course/48XAYnpIKIwzNP2E,KNA0020,[ KNA0020 ] Kursus Human Resource Champions: Pembangunan Modal Insan [ Siri 6/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240911144443.png
Wv5qexBxwmTBUmWm,https://www.dtims.intan.my/detail_course/Wv5qexBxwmTBUmWm,UZA0052,[ UZA0052 ] Kursus Sistem Pengurusan Aset Alih Kerajaan (SPAA 3.1) SPS [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240121145256.jpeg
rVAD8ct7DnCczf2f,https://www.dtims.intan.my/detail_course/rVAD8ct7DnCczf2f,KEA0006,[ KEA0006 ] Kursus Integriti Dan Tadbir Urus Terbaik Dalam Pengurusan Kewangan Kerajaan [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240830154421.png
f4pH2nXToAUOLsUW,https://www.dtims.intan.my/detail_course/f4pH2nXToAUOLsUW,KCA0119,[ KCA0119 ] Kursus Bahasa Pemodelan Enterprise Architecture [ Siri 2/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240722102029.png
OIgoL4vLcxZukqHE,https://www.dtims.intan.my/detail_course/OIgoL4vLcxZukqHE,WZA0011,[ WZA0011 ] Kursus Pengurusan Kenderaan [ Siri 2/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20231222093842.jpeg
iQRiG8vNrOgwoKyQ,https://www.dtims.intan.my/detail_course/iQRiG8vNrOgwoKyQ,EEA0081,[ EEA0081 ] TEKNIK PEMPEROSESAN KOPI [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240122133545.png
dBs3XjJUUlDt5kzP,https://www.dtims.intan.my/detail_course/dBs3XjJUUlDt5kzP,KNA0024,[ KNA0024 ] Kursus Pembudayaan HEMAT Penjawat Awam [ Siri 2/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240906113051.png
VEcCqiGHxKPrc4Uz,https://www.dtims.intan.my/detail_course/VEcCqiGHxKPrc4Uz,EEA0083,[ EEA0083 ] PAKEJ TEKNOLOGI TANAMAN DURIAN BELANDA [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240123101748.png
KOAU2PvULXlmK1tz,https://www.dtims.intan.my/detail_course/KOAU2PvULXlmK1tz,DDA0081,[ DDA0081 ] Kursus Kaliberasi Racun Perosak & Baja [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240123145042.jpeg
IRjfdjHIo4KqRTyb,https://www.dtims.intan.my/detail_course/IRjfdjHIo4KqRTyb,IIA0068,[ IIA0068 ] Kursus Pengurusan Nurseri Tanaman Buah-Buahan [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240911095119.jpeg
Bd27tJnQeaCeDy8B,https://www.dtims.intan.my/detail_course/Bd27tJnQeaCeDy8B,WZA0073,[ WZA0073 ] KURSUS PEMBUDAYAAN HEMAT PENJAWAT AWAM [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240819114607.png
k0OdytkelGIkMwFs,https://www.dtims.intan.my/detail_course/k0OdytkelGIkMwFs,AAA0035,"[ AAA0035 ] KURSUS TAKSONOMI TANAH : PENGKELASAN MENURUT USDA, WRB DAN FAO (UPSKILLING-PP) [ Siri 1/2024 ]",https://admin.dtims.intan.my/upload/banner/bn-20240909153528.png
1ld6YNikYXAwXwHA,https://www.dtims.intan.my/detail_course/1ld6YNikYXAwXwHA,KCA0150,[ KCA0150 ] Kursus Train of Trainer : Big Data Analytics Using Speedminer (Advanced) [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240919161404.png
LAmnRVrxggo9PRjx,https://www.dtims.intan.my/detail_course/LAmnRVrxggo9PRjx,TZA0017,[ TZA0017 ] Kursus Horizon Baharu KIK [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240805175531.png
OnDLse0yZYogQUbX,https://www.dtims.intan.my/detail_course/OnDLse0yZYogQUbX,UZA0028,[ UZA0028 ] Kursus Pengurusan Gangguan Seksual di Tempat Kerja [ Siri 2/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240214175037.jpeg
FmqmTx5fKq0j0ic0,https://www.dtims.intan.my/detail_course/FmqmTx5fKq0j0ic0,UZA0041,[ UZA0041 ] Pengurusan Sistem Rekod Yang Efektif [ Siri 3/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20231204144109.png
enB8aJMIPnJ6R37k,https://www.dtims.intan.my/detail_course/enB8aJMIPnJ6R37k,KBA0008,[ KBA0008 ] Bahasa Mandarin Untuk Interaksi Harian [ Siri 4/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240429123919.png
bmC59BuNjRRTemhy,https://www.dtims.intan.my/detail_course/bmC59BuNjRRTemhy,UZA0001,[ UZA0001 ] Kursus Pengukuhan Pasukan [ Siri 14/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240820142119.jpeg
xrp2i9PaV6a4e8hj,https://www.dtims.intan.my/detail_course/xrp2i9PaV6a4e8hj,TZA0068,[ TZA0068 ] KURSUS PEMBUDAYAAN H.E.M.A.T. PENJAWAT AWAM [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240909152810.jpeg
YrlgeuxN57sEBFIk,https://www.dtims.intan.my/detail_course/YrlgeuxN57sEBFIk,ICB0007,[ ICB0007 ] VIRTUAL PRODUCTION DESIGN AI [ Siri 3/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240911140501.png
RAX2iVAKgnqU2RIi,https://www.dtims.intan.my/detail_course/RAX2iVAKgnqU2RIi,TZA0008,[ TZA0008 ] Kursus Pengurusan Aset Alih Kerajaan [ Siri 4/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240523183424.png
wy2hS1KmYdCrJ8Nc,https://www.dtims.intan.my/detail_course/wy2hS1KmYdCrJ8Nc,EEA0089,[ EEA0089 ] PENGEMBANGAN PERTANIAN MENGGUNAKAN APLIKASI TIKTOK DAN STRATEGIK MEDIA SOSIAL [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240924120836.jpeg
th5T8mIUybHQyVph,https://www.dtims.intan.my/detail_course/th5T8mIUybHQyVph,WZA0037,"[ WZA0037 ] RBTCS:  Microsoft Excel 2016 Step by Step (Intro, Intermediate & Advanced) [ Siri 2/2024 ]",https://admin.dtims.intan.my/upload/banner/bn-20240201122345.jpeg
3dh4C0CKTgaFjDXn,https://www.dtims.intan.my/detail_course/3dh4C0CKTgaFjDXn,IIA0075,"[ IIA0075 ] Kursus Penyelenggaraan Serta Pembaikan Enjin, Pam & Mesin Pertanian [ Siri 1/2024 ]",https://admin.dtims.intan.my/upload/banner/bn-20240913083002.jpeg
fCmvwrLkPxfXQ6eB,https://www.dtims.intan.my/detail_course/fCmvwrLkPxfXQ6eB,KCA0124,[ KCA0124 ] Kursus Internet of Things (Tahap Pertengahan) [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240924093910.jpeg
0aTkTK0Vmgi8m5Hk,https://www.dtims.intan.my/detail_course/0aTkTK0Vmgi8m5Hk,KFA0050,[ KFA0050 ] Kursus Monetisasi Aset [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240923111455.png
AcUw2UhVuMNgRtIH,https://www.dtims.intan.my/detail_course/AcUw2UhVuMNgRtIH,DDA0082,[ DDA0082 ] Kursus Pengukuhan Pasukan [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240305145655.jpeg
AiKl7HT2yUP8LvSV,https://www.dtims.intan.my/detail_course/AiKl7HT2yUP8LvSV,EEA0085,[ EEA0085 ] KHIDMAT PENGEMBANGAN MELALUI APLIKASI TikTok [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240508162500.png
CS4Ts1WBTaVhSKPX,https://www.dtims.intan.my/detail_course/CS4Ts1WBTaVhSKPX,KBA0001,[ KBA0001 ] Power Up Your English: Effective Letters and Emails [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240215105532.jpeg
RGE9Ag7kCNwal7ly,https://www.dtims.intan.my/detail_course/RGE9Ag7kCNwal7ly,EAA0043,[ EAA0043 ] KURSUS PENGURUSAN SECARA SISTEMATIK DALAM PENINGKATAN DAN KECEKAPAN PRODUKTIVITI TERNAKAN RUMINAN KECIL (TERBUKA) [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240922085323.png
mT3Iuee0NY2dwNR4,https://www.dtims.intan.my/detail_course/mT3Iuee0NY2dwNR4,IIA0076,[ IIA0076 ] Kursus Asas Elektrik & Elektronik Dalam Pertanian [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240924114417.jpeg
BE6kxzFLReJnaFm0,https://www.dtims.intan.my/detail_course/BE6kxzFLReJnaFm0,FZA0001,"[ FZA0001 ] Kursus Health, Fitness and Happiness [ Siri 4/2024 ]",https://admin.dtims.intan.my/upload/banner/bn-20240906101131.jpeg
DS1Dhhjs6ImuUjiZ,https://www.dtims.intan.my/detail_course/DS1Dhhjs6ImuUjiZ,DDA0083,[ DDA0083 ] Kursus Keselamatan dan Kesihatan Pekerjaan Sektor Pertanian [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240303111933.jpeg
LTT8d33esldmLAGE,https://www.dtims.intan.my/detail_course/LTT8d33esldmLAGE,KLA1009,[ KLA1009 ] Futures Thinking and Scenario Planning Workshop (Intermediate) [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240729145425.jpeg
o0oBDa3wxvUYdWqf,https://www.dtims.intan.my/detail_course/o0oBDa3wxvUYdWqf,KFA0045,[ KFA0045 ] Kursus Skills for Public Finance Manager [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240830112042.jpeg
u0ql7XQSNfT9MpQ8,https://www.dtims.intan.my/detail_course/u0ql7XQSNfT9MpQ8,EAA0024,[ EAA0024 ] SEMINAR SISTEM KUALITI PREMIS PERLADANGAN & PEMPROSESAN SARANG BURUNG WALET BG KEPERLUAN CHINA & LAT SIST BLOCKCHAIN MYWALET & PROGRAM BERSEPADU PENGUKUHAN GAHP BERSAMA AVD & PENGUSAHA LADANG (TERBUKA) [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240827153154.png
lHvVKHvoSETRcMZE,https://www.dtims.intan.my/detail_course/lHvVKHvoSETRcMZE,KLA1013,[ KLA1013 ] Kursus Management Tools [ Siri 3/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240822164954.jpeg
VbJRbx7nDzqosOcg,https://www.dtims.intan.my/detail_course/VbJRbx7nDzqosOcg,IIA0064,[ IIA0064 ] Kursus Pengurusan Tanaman Dalam Persekitaran Terkawal (Kilang Tanaman) [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240716090417.jpeg
Sg27NlbLUyYT8TCw,https://www.dtims.intan.my/detail_course/Sg27NlbLUyYT8TCw,UZA0013,[ UZA0013 ] Kursus Gamifikasi Kreativiti di Tempat Kerja [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20231205180721.png
2YtcN6LCI5fxzbxR,https://www.dtims.intan.my/detail_course/2YtcN6LCI5fxzbxR,TZA0017,[ TZA0017 ] Kursus Horizon Baharu KIK [ Siri 2/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240805175632.png
3iy7YPGk7FB01WUn,https://www.dtims.intan.my/detail_course/3iy7YPGk7FB01WUn,TZA0009,[ TZA0009 ] Kursus Pengurusan Perolehan Kerajaan [ Siri 4/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240902161027.png
hv0w4RO49fO38Dmh,https://www.dtims.intan.my/detail_course/hv0w4RO49fO38Dmh,EEA0082,[ EEA0082 ] TEKNOLOGI PENGHASILAN MADU KELULUT BERKUALITI TINGGI [ Siri 1/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240818084926.jpeg
X9mk7m62gYIZmrQx,https://www.dtims.intan.my/detail_course/X9mk7m62gYIZmrQx,UZA0028,[ UZA0028 ] Kursus Pengurusan Gangguan Seksual di Tempat Kerja [ Siri 3/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20240214174227.jpeg
I04gldV2c7dgY4iR,https://www.dtims.intan.my/detail_course/I04gldV2c7dgY4iR,UZA0067,"[ UZA0067 ] Kursus Jom Kenali Item, Elak Pecah Kecil [ Siri 2/2024 ]",https://admin.dtims.intan.my/upload/banner/bn-20240121103805.jpeg
FVqlRaULdYGddbsp,https://www.dtims.intan.my/detail_course/FVqlRaULdYGddbsp,KLA1010,"[ KLA1010 ] Kursus Pemikiran, Perancangan dan Pengurusan Strategik [ Siri 2/2024 ]",https://admin.dtims.intan.my/upload/banner/bn-20231130133636.jpeg
ErkfrjZBeTsJeYd8,https://www.dtims.intan.my/detail_course/ErkfrjZBeTsJeYd8,UZA0041,[ UZA0041 ] Pengurusan Sistem Rekod Yang Efektif [ Siri 4/2024 ],https://admin.dtims.intan.my/upload/banner/bn-20231220145128.png
