course_id,title,job_role,skills_required,sub_skills_required,description,subdomain_id,subdomain_name
KCA0002,Testing Workshop from System Requirements Specifications to System Testing,,,,"This course offers a deep dive into Testing Workshop, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Testing practices.",4,
KCA0008,User Requirements Specification (URS) Public Sector Application System Engineering (KRISA),,,,"This course offers a deep dive into User Requirements, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of User practices.",4,
KCA0010,Mobile App Flutter Development,,,,"This course offers a deep dive into Mobile App, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Mobile practices.",4,
KCB0002,Certified Tester Foundation Level (CTFL),,,,"This course offers a deep dive into Certified Tester, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Certified practices.",4,
KCA0015,Microsoft Office 2019 Tips and Tricks,,,,"This course offers a deep dive into Microsoft Office, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Microsoft practices.",4,
TZA0024,Adobe Indesign CC (Basic Advanced),,,,"This course offers a deep dive into Adobe Indesign, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Adobe practices.",4,
KCA0019,Database Fundamentals,,,,"Explore the nuances of Database Fundamentals with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",4,
KCA0025,Playworks Excel Fun Formulas,,,,"This course offers a deep dive into Playworks Excel, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Playworks practices.",4,
KCA0058,Introduction to the development of public sector e-learning materials (EPSA),,,,"This course offers a deep dive into Introduction to, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Introduction practices.",4,
KCA0040,Introduction of system analysis and design using Object Oriented Approach,,,,"This course offers a deep dive into Introduction of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Introduction practices.",4,
KCA0061,Laravel - Intermediate,,,,"This course offers a deep dive into Laravel -, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Laravel practices.",4,
KCA0062,Robotic Process Automation (RPA) - Uipath,,,,"This course offers a deep dive into Robotic Process, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Robotic practices.",4,
KCA0043,Introduction to Programming Using Python,,,,"This course offers a deep dive into Introduction to, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Introduction practices.",4,
KCB0003,Certified Tester Advanced Level (CTAL),,,,"This course offers a deep dive into Certified Tester, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Certified practices.",4,
KCA0063,Effective Website Development Series 1 - Website Development Using Joomla,,,,"This course offers a deep dive into Effective Website, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Effective practices.",4,
KCA0064,Effective Website Development Series 2 - Joomla Advance Using Jomshaper & SP Page Builder,,,,"This course offers a deep dive into Effective Website, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Effective practices.",4,
KCA0045,Agile Developer,,,,"Explore the nuances of Agile Developer with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",4,
KCA0047,Joomla's website development,,,,"This course offers a deep dive into Joomla's website, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Joomla's practices.",4,
KCB0011,Certified Professional for Requirements Engineering (CPRE),,,,"This course offers a deep dive into Certified Professional, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Certified practices.",4,
KCA0069,"Php, MySQL and Laravel",,,,"This course offers a deep dive into Php, MySQL, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Php, practices.",4,
KCA0070,Introduction of Low Code JogetDX platform,,,,"This course offers a deep dive into Introduction of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Introduction practices.",4,
KCA0072,Workshop on Diamond System Requirements,,,,"This course offers a deep dive into Workshop on, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Workshop practices.",4,
KCA0073,Intan online examination system requirements workshop,,,,"This course offers a deep dive into Intan online, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Intan practices.",4,
KCA0074,Application System for Digital Competency Monitoring (ASDCM) Requirements Needs Needs Workshop Workshop (ASDCM),,,,"This course offers a deep dive into Application System, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Application practices.",4,
KCA0080,RBCTS Mobile Apps Flutter,,,,"This course offers a deep dive into RBCTS Mobile, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of RBCTS practices.",4,
KCA0090,Technical Uipath Robotic Process Automation (RPA),,,,"This course offers a deep dive into Technical Uipath, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Technical practices.",4,
KCA0093,Train of Trainer Robotic Process Automation (RPA) - Uipath,,,,"This course offers a deep dive into Train of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Train practices.",4,
KCB0022,PHP LARAVEL FRAMEWORK PROGRAM,,,,"This course offers a deep dive into PHP LARAVEL, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of PHP practices.",4,
SZA0051,PHP LARAVEL FRAMEWORK PROGRAM,,,,"This course offers a deep dive into PHP LARAVEL, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of PHP practices.",4,
KCA0110,LOW CODE SCRIPTCASE BASIC,,,,"This course offers a deep dive into LOW CODE, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of LOW practices.",4,
KCA0111,Consumer Training of the Diamond Rating System,,,,"This course offers a deep dive into Consumer Training, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Consumer practices.",4,
KCA0116,Mid -Robotic Process Automation (RPA),,,,"This course offers a deep dive into Mid -Robotic, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Mid practices.",4,
KCA0118,"Public Sector Application System Engineering (KRISA)- Design, Development and Implementation Phase",,,,"This course offers a deep dive into Public Sector, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Public practices.",4,
KCA0088,Public Sector Application System Engineering (KRISA) System Testing,,,,"This course offers a deep dive into Public Sector, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Public practices.",4,
KCB0030,Robotic Process Automation (RPA) basic certification certification,,,,"This course offers a deep dive into Robotic Process, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Robotic practices.",4,
KCA0117,Train of Trainer Robotic Process Automation (Intermediate Level),,,,"This course offers a deep dive into Train of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Train practices.",4,
KCB0031,Robotic Process Automation (RPA) mid -level certification,,,,"This course offers a deep dive into Robotic Process, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Robotic practices.",4,
SZA0059,Programming (basic),,,,"Explore the nuances of Programming (basic) with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",4,
KCA0132,Chat gpt,,,,"Explore the nuances of Chat gpt with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",4,
SZA0060,Programming (mid),,,,"Explore the nuances of Programming (mid) with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",4,
SZA0061,Programming (Advanced),,,,"Explore the nuances of Programming (Advanced) with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",4,
TZA0027,Database Fundamentals,,,,"Explore the nuances of Database Fundamentals with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",5,
BZA0029,Microsoft Power Bi Essentials,,,,"This course offers a deep dive into Microsoft Power, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Microsoft practices.",5,
BZA0043,"Get Creative Microsoft Excel 2016 Step by Step (Intro, Intermediate & Advanced)",,,,"This course offers a deep dive into Get Creative, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Get practices.",5,
KCA0100,The use of Navicat software,,,,"This course offers a deep dive into The use, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of The practices.",5,
BZA0065,"Microsoft Excel 2016 Step by Step (Intro, Intermediate & Advance)",,,,"This course offers a deep dive into Microsoft Excel, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Microsoft practices.",5,
KCA0103,Train of Trainer Blockchain (Basic Level),,,,"This course offers a deep dive into Train of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Train practices.",5,
CCA0035,Big Data Analytics for Precision Agriculture,,,,"This course offers a deep dive into Big Data, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Big practices.",5,
ISA0012,Excel Analytic Data (Basic),,,,"This course offers a deep dive into Excel Analytic, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Excel practices.",5,
KCA0021,ICT and infrastructure management (operating data center management),,,,"This course offers a deep dive into ICT and, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of ICT practices.",6,
KCA0017,Certified Data Center Professional (CDCP),,,,"This course offers a deep dive into Certified Data, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Certified practices.",6,
KCA0099,Blockchain technical,,,,"Explore the nuances of Blockchain technical with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",6,
KCA0101,IR 4.0 Foundations of Blockchain,,,,"This course offers a deep dive into IR 4.0, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of IR practices.",6,
KCB0023,Basic Level Certification of Blockchain,,,,"This course offers a deep dive into Basic Level, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Basic practices.",6,
KCA0115,IR4.0 Intermediate Blockchain Solutions,,,,"This course offers a deep dive into IR4.0 Intermediate, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of IR4.0 practices.",6,
KCA0109,Train of Trainer Blockchain (mid -level),,,,"This course offers a deep dive into Train of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Train practices.",6,
KCB0028,Blockchain mid -level certification,,,,"This course offers a deep dive into Blockchain mid, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Blockchain practices.",6,
KCA0005,The basis of cyber security,,,,"This course offers a deep dive into The basis, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of The practices.",7,
KCA0011,Digital Forensic,,,,"Explore the nuances of Digital Forensic with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",7,
UZA0039,Security Fundamentals,,,,"Explore the nuances of Security Fundamentals with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",7,
KCA0022,STANDARD ISO/IEC ISMS 27001 For ISMS Implementation,,,,"This course offers a deep dive into STANDARD ISO/IEC, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of STANDARD practices.",7,
KCA0018,Risk Assessment Basics (ICT),,,,"This course offers a deep dive into Risk Assessment, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Risk practices.",7,
KCA0033,STANDARD ISO/IEC ISMS 27001 For Auditors in ISMS,,,,"This course offers a deep dive into STANDARD ISO/IEC, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of STANDARD practices.",7,
KCA0037,Fundamental Blockchain,,,,"Explore the nuances of Fundamental Blockchain with a detailed curriculum designed to cover both foundational and advanced concepts, catering to learners who wish to excel in this area.",7,
SZA0010,BLOCKCHAIN AWARENESS PROGRAMME,,,,"This course offers a deep dive into BLOCKCHAIN ​​AWARENESS, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of BLOCKCHAIN practices.",7,
KCA0030,Disaster Recovery (ICT),,,,"This course offers a deep dive into Disaster Recovery, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Disaster practices.",7,
KCA0060,Virtual ISMS Internal Audit,,,,"This course offers a deep dive into Virtual Isms, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Virtual practices.",7,
KCB0001,COMPTIA SECURITY+ AND EXAMINATION,,,,"This course offers a deep dive into COMPTIA SECURITY+, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of COMPTIA practices.",7,
KCB0004,EC Council Certified Secure Computer User,,,,"This course offers a deep dive into EC Council, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of EC practices.",7,
KCB0009,EC-Council Certified Ethical Hacker (CEH),,,,"This course offers a deep dive into EC-Council Certified, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of EC-Council practices.",7,
KCB0013,ISO/IEC 270012013 ISMS Documentation & Security Matrix,,,,"This course offers a deep dive into ISO/IEC 270012013, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of ISO/IEC practices.",7,
KCA0055,EC-Council Certified Security Specialist (ECSS),,,,"This course offers a deep dive into EC-Council Certified, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of EC-Council practices.",7,
KCA0068,Risk Assessment for ISMS 270012013,,,,"This course offers a deep dive into Risk Assessment, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Risk practices.",7,
KCB0018,ISMS CERTIFIED ISO 27001 LEAD IMPLEMENTER,,,,"This course offers a deep dive into ISMS CERTIFIED, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of ISMS practices.",7,
KCA0085,Security Information and Event Management (SIEM) Using Micro Focus Sentinel,,,,"This course offers a deep dive into Security Information, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Security practices.",7,
KCA0081,IR4.0 Digital Forensic and Evidence,,,,"This course offers a deep dive into IR4.0 Digital, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of IR4.0 practices.",7,
KCA0091,Train of Trainer Security Management and Cyber ​​Incident,,,,"This course offers a deep dive into Train of, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of Train practices.",7,
KCB0021,ISMS INFORMATION MANAGEMENT ISO 27001 2022 NEW NEEDS,,,,"This course offers a deep dive into ISMS INFORMATION, focusing on advanced techniques, practical applications, and industry-relevant insights to help participants stay at the forefront of ISMS practices.",7,
