course_id,title,job_role,skills_required,sub_skills_required,description
31,Tester Course 31,Tester,Bug Tracking,"Bugzilla, JUnit","This course covers essential skills for the role of Tester. Skills required: Bug Tracking. Sub-skills required: Bugzilla, JUnit."
32,Business Analyst Course 32,Business Analyst,"Requirement Gathering, Reporting",Confluence,"This course covers essential skills for the role of Business Analyst. Skills required: Requirement Gathering, Reporting. Sub-skills required: Confluence."
33,Software Engineer Course 33,Software Engineer,"Testing, Software Design",Git,"This course covers essential skills for the role of Software Engineer. Skills required: Testing, Software Design. Sub-skills required: Git."
34,Project Manager Course 34,Project Manager,Project Planning,"Trello, MS Project","This course covers essential skills for the role of Project Manager. Skills required: Project Planning. Sub-skills required: Trello, MS Project."
35,Tester Course 35,Tester,"Testing Techniques, Automation",Bugzilla,"This course covers essential skills for the role of Tester. Skills required: Testing Techniques, Automation. Sub-skills required: Bugzilla."
36,Data Engineer Course 36,Data Engineer,"Big Data, ETL","Kafka, Apache Spark","This course covers essential skills for the role of Data Engineer. Skills required: Big Data, ETL. Sub-skills required: Kafka, Apache Spark."
37,Frontend Developer Course 37,Frontend Developer,"JavaScript, CSS",Webpack,"This course covers essential skills for the role of Frontend Developer. Skills required: JavaScript, CSS. Sub-skills required: Webpack."
38,Data Analyst Course 38,Data Analyst,"SQL, Excel",Power BI,"This course covers essential skills for the role of Data Analyst. Skills required: SQL, Excel. Sub-skills required: Power BI."
39,Admin Course 39,Admin,System Administration,"Scripting, Windows Server","This course covers essential skills for the role of Admin. Skills required: System Administration. Sub-skills required: Scripting, Windows Server."
40,Data Analyst Course 40,Data Analyst,Excel,"Power BI, Matplotlib","This course covers essential skills for the role of Data Analyst. Skills required: Excel. Sub-skills required: Power BI, Matplotlib."
41,UI/UX Designer Course 41,UI/UX Designer,"Prototyping, Wireframing","Adobe XD, InVision","This course covers essential skills for the role of UI/UX Designer. Skills required: Prototyping, Wireframing. Sub-skills required: Adobe XD, InVision."
42,UI/UX Designer Course 42,UI/UX Designer,"Prototyping, Design Thinking","Adobe XD, Figma","This course covers essential skills for the role of UI/UX Designer. Skills required: Prototyping, Design Thinking. Sub-skills required: Adobe XD, Figma."
43,Data Analyst Course 43,Data Analyst,"Data Visualization, SQL",Tableau,"This course covers essential skills for the role of Data Analyst. Skills required: Data Visualization, SQL. Sub-skills required: Tableau."
44,Data Engineer Course 44,Data Engineer,"Big Data, ETL","Kafka, Hadoop","This course covers essential skills for the role of Data Engineer. Skills required: Big Data, ETL. Sub-skills required: Kafka, Hadoop."
45,Frontend Developer Course 45,Frontend Developer,JavaScript,"Webpack, Sass","This course covers essential skills for the role of Frontend Developer. Skills required: JavaScript. Sub-skills required: Webpack, Sass."
46,Backend Developer Course 46,Backend Developer,"API Development, Node.js","Django, SQL Server","This course covers essential skills for the role of Backend Developer. Skills required: API Development, Node.js. Sub-skills required: Django, SQL Server."
47,Data Analyst Course 47,Data Analyst,Excel,"Matplotlib, Tableau","This course covers essential skills for the role of Data Analyst. Skills required: Excel. Sub-skills required: Matplotlib, Tableau."
48,Admin Course 48,Admin,"Network Management, System Administration","Windows Server, Scripting","This course covers essential skills for the role of Admin. Skills required: Network Management, System Administration. Sub-skills required: Windows Server, Scripting."
49,DevOps Course 49,DevOps,"Continuous Integration, Continuous Deployment","Kubernetes, Docker","This course covers essential skills for the role of DevOps. Skills required: Continuous Integration, Continuous Deployment. Sub-skills required: Kubernetes, Docker."
50,Project Manager Course 50,Project Manager,"Project Planning, Risk Management",Gantt Charts,"This course covers essential skills for the role of Project Manager. Skills required: Project Planning, Risk Management. Sub-skills required: Gantt Charts."
